scenario,initial_threat,best,mean,avg_time_per_run_s,n_restarts,search_seconds,alpha,seed
scenario_001.json,84.67599999999999,8.109652,8.543906,0.018000,10,5,restarts,0.85,42
scenario_002.json,81.38599999999998,7.567309,8.355690,0.047600,10,5,restarts,0.85,42
scenario_003.json,78.83600000000001,5.575036,5.672929,0.036400,10,5,restarts,0.85,42
scenario_004.json,77.142,2.701709,2.740223,0.030500,10,5,restarts,0.85,42
scenario_005.json,78.474,9.232854,9.474496,0.027700,10,5,restarts,0.85,42
scenario_006.json,80.895,2.651339,2.813567,0.058200,10,5,restarts,0.85,42
scenario_007.json,82.29700000000001,4.288352,4.534910,0.036800,10,5,restarts,0.85,42
scenario_008.json,79.98,6.525003,6.678813,0.030800,10,5,restarts,0.85,42
scenario_009.json,80.12199999999997,8.747435,9.713563,0.024100,10,5,restarts,0.85,42
scenario_010.json,84.52100000000002,8.598408,9.123276,0.075800,10,5,restarts,0.85,42
scenario_011.json,77.689,6.956654,7.372165,0.035600,10,5,restarts,0.85,42
scenario_012.json,81.19399999999997,5.944128,6.072819,0.016100,10,5,restarts,0.85,42
scenario_013.json,79.476,10.212946,10.792314,0.032200,10,5,restarts,0.85,42
scenario_014.json,78.382,3.863255,3.976299,0.101600,10,5,restarts,0.85,42
scenario_015.json,78.927,10.327594,11.282547,0.140200,10,5,restarts,0.85,42
scenario_016.json,79.13400000000001,9.736888,10.148117,0.016900,10,5,restarts,0.85,42
scenario_017.json,77.84499999999997,11.636147,12.498696,0.051300,10,5,restarts,0.85,42
scenario_018.json,79.032,9.697747,10.371752,0.012200,10,5,restarts,0.85,42
scenario_019.json,79.80499999999999,2.258907,2.304150,0.147300,10,5,restarts,0.85,42
scenario_020.json,80.80700000000002,5.385372,6.024004,0.046200,10,5,restarts,0.85,42
scenario_021.json,79.38699999999999,5.672778,6.067927,0.072000,10,5,restarts,0.85,42
scenario_022.json,80.40699999999997,4.691503,6.080252,0.040700,10,5,restarts,0.85,42
scenario_023.json,82.85000000000002,9.728777,10.181678,0.074400,10,5,restarts,0.85,42
scenario_024.json,77.62799999999999,1.898452,1.919269,0.077900,10,5,restarts,0.85,42
scenario_025.json,82.19599999999998,5.476669,5.599461,0.041600,10,5,restarts,0.85,42
scenario_026.json,81.04900000000006,9.484226,9.796727,0.029000,10,5,restarts,0.85,42
scenario_027.json,80.54800000000002,7.594973,8.137182,0.019900,10,5,restarts,0.85,42
scenario_028.json,78.26600000000003,4.138070,4.377186,0.061100,10,5,restarts,0.85,42
scenario_029.json,77.41299999999997,2.644181,3.157632,0.039300,10,5,restarts,0.85,42
scenario_030.json,79.32400000000003,4.966511,5.345422,0.053800,10,5,restarts,0.85,42
scenario_031.json,78.74999999999999,11.560268,12.025544,0.038400,10,5,restarts,0.85,42
scenario_032.json,81.39200000000002,16.800812,17.357448,0.043100,10,5,restarts,0.85,42
scenario_033.json,79.79700000000001,6.096000,6.298144,0.032400,10,5,restarts,0.85,42
scenario_034.json,76.13899999999997,3.488880,3.537440,0.049000,10,5,restarts,0.85,42
scenario_035.json,78.44400000000002,1.370815,1.816436,0.075800,10,5,restarts,0.85,42
scenario_036.json,80.39800000000004,8.116856,8.498960,0.013100,10,5,restarts,0.85,42
scenario_037.json,78.62599999999999,3.419127,3.536315,0.042600,10,5,restarts,0.85,42
scenario_038.json,78.822,1.098602,1.198068,0.085500,10,5,restarts,0.85,42
scenario_039.json,77.614,21.215722,21.948845,0.011300,10,5,restarts,0.85,42
scenario_040.json,77.18899999999998,2.390266,2.447895,0.027800,10,5,restarts,0.85,42
scenario_041.json,76.84599999999999,4.594097,5.123303,0.024300,10,5,restarts,0.85,42
scenario_042.json,80.30600000000001,6.236217,6.643369,0.063200,10,5,restarts,0.85,42
scenario_043.json,77.39600000000002,4.968681,5.116635,0.108100,10,5,restarts,0.85,42
scenario_044.json,80.92999999999998,16.121034,16.387939,0.070500,10,5,restarts,0.85,42
scenario_045.json,80.47699999999999,3.284694,3.417646,0.018300,10,5,restarts,0.85,42
scenario_046.json,80.42300000000002,4.846135,5.040546,0.063500,10,5,restarts,0.85,42
scenario_047.json,80.26299999999999,3.568345,4.308976,0.049700,10,5,restarts,0.85,42
scenario_048.json,79.91100000000002,12.069383,12.316165,0.026100,10,5,restarts,0.85,42
scenario_049.json,80.45100000000001,6.851068,7.242101,0.012000,10,5,restarts,0.85,42
scenario_050.json,81.28599999999999,5.704120,5.862015,0.017400,10,5,restarts,0.85,42
