scenario,initial_threat,best,mean,avg_time_per_run_s,n_restarts,search_seconds,alpha,seed
scenario_001.json,84.67599999999999,8.589410,10.061432,0.015511,323,5,search-seconds,0.85,42
scenario_002.json,81.38599999999998,10.034612,11.758536,0.036628,137,5,search-seconds,0.85,42
scenario_003.json,78.83600000000001,5.457791,7.091315,0.031300,160,5,search-seconds,0.85,42
scenario_004.json,77.142,4.324332,4.908658,0.020300,247,5,search-seconds,0.85,42
scenario_005.json,78.474,10.002408,10.296985,0.025809,194,5,search-seconds,0.85,42
scenario_006.json,80.895,4.199691,4.787429,0.045536,110,5,search-seconds,0.85,42
scenario_007.json,82.29700000000001,6.095903,6.677870,0.031955,157,5,search-seconds,0.85,42
scenario_008.json,79.98,7.407050,8.190446,0.022572,222,5,search-seconds,0.85,42
scenario_009.json,80.12199999999997,8.755970,10.110835,0.021250,236,5,search-seconds,0.85,42
scenario_010.json,84.52100000000002,9.764147,10.954492,0.060843,83,5,search-seconds,0.85,42
scenario_011.json,77.689,7.489377,8.763663,0.029686,169,5,search-seconds,0.85,42
scenario_012.json,81.19399999999997,7.019078,7.529555,0.013686,366,5,search-seconds,0.85,42
scenario_013.json,79.476,11.196912,12.357695,0.030247,166,5,search-seconds,0.85,42
scenario_014.json,78.382,5.537240,6.612841,0.075239,67,5,search-seconds,0.85,42
scenario_015.json,78.927,12.206878,12.955130,0.124317,41,5,search-seconds,0.85,42
scenario_016.json,79.13400000000001,8.360387,9.577321,0.015431,325,5,search-seconds,0.85,42
scenario_017.json,77.84499999999997,12.697988,14.353281,0.042415,118,5,search-seconds,0.85,42
scenario_018.json,79.032,13.936601,15.625065,0.011537,434,5,search-seconds,0.85,42
scenario_019.json,79.80499999999999,3.061099,4.332384,0.094019,54,5,search-seconds,0.85,42
scenario_020.json,80.80700000000002,7.306509,8.025009,0.039164,128,5,search-seconds,0.85,42
scenario_021.json,79.38699999999999,6.087480,6.865985,0.048641,103,5,search-seconds,0.85,42
scenario_022.json,80.40699999999997,8.583536,9.651946,0.036664,137,5,search-seconds,0.85,42
scenario_023.json,82.85000000000002,10.599564,12.096766,0.059118,85,5,search-seconds,0.85,42
scenario_024.json,77.62799999999999,3.763775,3.839615,0.059082,85,5,search-seconds,0.85,42
scenario_025.json,82.19599999999998,7.067133,7.264804,0.032038,157,5,search-seconds,0.85,42
scenario_026.json,81.04900000000006,8.775715,9.921379,0.026612,188,5,search-seconds,0.85,42
scenario_027.json,80.54800000000002,7.390350,7.820172,0.015514,323,5,search-seconds,0.85,42
scenario_028.json,78.26600000000003,6.485077,6.959857,0.054772,92,5,search-seconds,0.85,42
scenario_029.json,77.41299999999997,3.365480,4.646079,0.031387,160,5,search-seconds,0.85,42
scenario_030.json,79.32400000000003,6.276070,6.355127,0.039250,128,5,search-seconds,0.85,42
scenario_031.json,78.74999999999999,14.142325,15.100618,0.035437,142,5,search-seconds,0.85,42
scenario_032.json,81.39200000000002,16.710644,17.811811,0.037343,134,5,search-seconds,0.85,42
scenario_033.json,79.79700000000001,6.772438,7.212631,0.026384,190,5,search-seconds,0.85,42
scenario_034.json,76.13899999999997,4.569867,4.937909,0.036926,136,5,search-seconds,0.85,42
scenario_035.json,78.44400000000002,3.441418,4.073974,0.066645,76,5,search-seconds,0.85,42
scenario_036.json,80.39800000000004,8.151130,8.815464,0.014205,352,5,search-seconds,0.85,42
scenario_037.json,78.62599999999999,5.048112,5.378910,0.033885,148,5,search-seconds,0.85,42
scenario_038.json,78.822,2.310179,3.038688,0.071986,70,5,search-seconds,0.85,42
scenario_039.json,77.614,21.297115,22.557386,0.010833,462,5,search-seconds,0.85,42
scenario_040.json,77.18899999999998,2.819725,3.560550,0.021380,234,5,search-seconds,0.85,42
scenario_041.json,76.84599999999999,4.582331,5.667318,0.018382,272,5,search-seconds,0.85,42
scenario_042.json,80.30600000000001,7.087153,8.687508,0.055264,91,5,search-seconds,0.85,42
scenario_043.json,77.39600000000002,6.829272,7.447739,0.086379,58,5,search-seconds,0.85,42
scenario_044.json,80.92999999999998,19.830790,22.123035,0.060759,83,5,search-seconds,0.85,42
scenario_045.json,80.47699999999999,4.447096,5.029867,0.014158,354,5,search-seconds,0.85,42
scenario_046.json,80.42300000000002,6.590062,7.847480,0.049500,102,5,search-seconds,0.85,42
scenario_047.json,80.26299999999999,4.627964,5.432483,0.045573,110,5,search-seconds,0.85,42
scenario_048.json,79.91100000000002,12.112088,12.772476,0.017521,286,5,search-seconds,0.85,42
scenario_049.json,80.45100000000001,8.072936,9.877309,0.010386,482,5,search-seconds,0.85,42
scenario_050.json,81.28599999999999,6.295062,6.656972,0.013815,362,5,search-seconds,0.85,42
