scenario,initial_threat,best,mean,avg_time_per_run_s,n_restarts,search_seconds,alpha,seed
scenario_001.json,84.67599999999999,7.755502,8.425657,0.018105,277,5,search-seconds,0.85,42
scenario_002.json,81.38599999999998,7.563815,8.477603,0.050320,100,5,search-seconds,0.85,42
scenario_003.json,78.83600000000001,5.525575,5.685582,0.036904,136,5,search-seconds,0.85,42
scenario_004.json,77.142,2.649424,2.757515,0.030327,165,5,search-seconds,0.85,42
scenario_005.json,78.474,9.028298,9.454008,0.029482,170,5,search-seconds,0.85,42
scenario_006.json,80.895,2.631801,2.822137,0.059667,84,5,search-seconds,0.85,42
scenario_007.json,82.29700000000001,4.216386,4.558618,0.036478,138,5,search-seconds,0.85,42
scenario_008.json,79.98,6.525003,6.719887,0.031597,159,5,search-seconds,0.85,42
scenario_009.json,80.12199999999997,8.118077,9.790486,0.024578,204,5,search-seconds,0.85,42
scenario_010.json,84.52100000000002,7.858969,8.965129,0.076697,66,5,search-seconds,0.85,42
scenario_011.json,77.689,6.939207,7.537045,0.035239,142,5,search-seconds,0.85,42
scenario_012.json,81.19399999999997,5.729159,6.064428,0.016753,299,5,search-seconds,0.85,42
scenario_013.json,79.476,9.706178,10.957998,0.032406,155,5,search-seconds,0.85,42
scenario_014.json,78.382,3.799707,3.963891,0.098196,51,5,search-seconds,0.85,42
scenario_015.json,78.927,10.327594,11.375913,0.139417,36,5,search-seconds,0.85,42
scenario_016.json,79.13400000000001,9.149432,10.009980,0.017269,290,5,search-seconds,0.85,42
scenario_017.json,77.84499999999997,10.573630,12.175488,0.052167,96,5,search-seconds,0.85,42
scenario_018.json,79.032,9.135896,10.445695,0.012348,405,5,search-seconds,0.85,42
scenario_019.json,79.80499999999999,2.243374,2.307599,0.153182,33,5,search-seconds,0.85,42
scenario_020.json,80.80700000000002,5.385372,5.980616,0.047705,105,5,search-seconds,0.85,42
scenario_021.json,79.38699999999999,5.594584,6.271765,0.075328,67,5,search-seconds,0.85,42
scenario_022.json,80.40699999999997,4.691503,6.141085,0.041775,120,5,search-seconds,0.85,42
scenario_023.json,82.85000000000002,9.654841,10.304612,0.078953,64,5,search-seconds,0.85,42
scenario_024.json,77.62799999999999,1.867537,1.914266,0.083933,60,5,search-seconds,0.85,42
scenario_025.json,82.19599999999998,4.960831,5.495162,0.040683,123,5,search-seconds,0.85,42
scenario_026.json,81.04900000000006,9.191011,9.864582,0.029627,169,5,search-seconds,0.85,42
scenario_027.json,80.54800000000002,6.914275,8.099953,0.025582,196,5,search-seconds,0.85,42
scenario_028.json,78.26600000000003,4.136616,4.389518,0.062284,81,5,search-seconds,0.85,42
scenario_029.json,77.41299999999997,2.333903,3.134146,0.038868,129,5,search-seconds,0.85,42
scenario_030.json,79.32400000000003,4.907343,5.262279,0.050110,100,5,search-seconds,0.85,42
scenario_031.json,78.74999999999999,11.560268,12.163816,0.040508,124,5,search-seconds,0.85,42
scenario_032.json,81.39200000000002,16.268502,17.308296,0.042151,119,5,search-seconds,0.85,42
scenario_033.json,79.79700000000001,6.036589,6.297266,0.033278,151,5,search-seconds,0.85,42
scenario_034.json,76.13899999999997,3.474507,3.534111,0.037805,133,5,search-seconds,0.85,42
scenario_035.json,78.44400000000002,1.240940,1.624632,0.077077,65,5,search-seconds,0.85,42
scenario_036.json,80.39800000000004,7.941439,8.493215,0.016664,301,5,search-seconds,0.85,42
scenario_037.json,78.62599999999999,3.242022,3.642055,0.042872,117,5,search-seconds,0.85,42
scenario_038.json,78.822,1.001494,1.185108,0.063924,79,5,search-seconds,0.85,42
scenario_039.json,77.614,20.009060,21.584352,0.011767,425,5,search-seconds,0.85,42
scenario_040.json,77.18899999999998,2.343748,2.447341,0.028191,178,5,search-seconds,0.85,42
scenario_041.json,76.84599999999999,3.977761,4.982802,0.019944,251,5,search-seconds,0.85,42
scenario_042.json,80.30600000000001,5.535623,6.522763,0.064244,78,5,search-seconds,0.85,42
scenario_043.json,77.39600000000002,4.670576,5.135210,0.108191,47,5,search-seconds,0.85,42
scenario_044.json,80.92999999999998,16.006627,16.469989,0.051711,97,5,search-seconds,0.85,42
scenario_045.json,80.47699999999999,3.269775,3.443007,0.018709,268,5,search-seconds,0.85,42
scenario_046.json,80.42300000000002,4.846135,5.072028,0.048356,104,5,search-seconds,0.85,42
scenario_047.json,80.26299999999999,3.205615,4.011299,0.051711,97,5,search-seconds,0.85,42
scenario_048.json,79.91100000000002,11.852965,12.366198,0.028208,178,5,search-seconds,0.85,42
scenario_049.json,80.45100000000001,6.652011,7.264155,0.012763,392,5,search-seconds,0.85,42
scenario_050.json,81.28599999999999,5.659014,5.898700,0.018065,277,5,search-seconds,0.85,42
