scenario,initial_threat,best,mean,avg_time_per_run_s,n_restarts,search_seconds,alpha,seed
scenario_001.json,84.67599999999999,6.002246,6.165326,0.018724,268,5,search-seconds,0.85,42
scenario_002.json,81.38599999999998,6.692909,7.651521,0.046284,109,5,search-seconds,0.85,42
scenario_003.json,78.83600000000001,5.467624,6.310412,0.038252,131,5,search-seconds,0.85,42
scenario_004.json,77.142,2.120491,2.327635,0.024525,204,5,search-seconds,0.85,42
scenario_005.json,78.474,8.937964,9.185418,0.031715,158,5,search-seconds,0.85,42
scenario_006.json,80.895,2.967466,3.030149,0.058126,87,5,search-seconds,0.85,42
scenario_007.json,82.29700000000001,3.823347,4.059523,0.037865,133,5,search-seconds,0.85,42
scenario_008.json,79.98,6.118060,6.900892,0.043886,114,5,search-seconds,0.85,42
scenario_009.json,80.12199999999997,7.244814,8.493848,0.023222,216,5,search-seconds,0.85,42
scenario_010.json,84.52100000000002,8.129277,8.970706,0.063238,80,5,search-seconds,0.85,42
scenario_011.json,77.689,6.948360,7.090293,0.034628,145,5,search-seconds,0.85,42
scenario_012.json,81.19399999999997,4.559166,4.745276,0.018690,268,5,search-seconds,0.85,42
scenario_013.json,79.476,7.681457,8.393769,0.031873,157,5,search-seconds,0.85,42
scenario_014.json,78.382,4.237768,4.455058,0.105729,48,5,search-seconds,0.85,42
scenario_015.json,78.927,10.229991,10.723458,0.139333,36,5,search-seconds,0.85,42
scenario_016.json,79.13400000000001,7.801645,8.739372,0.016905,296,5,search-seconds,0.85,42
scenario_017.json,77.84499999999997,10.647538,11.811513,0.040240,125,5,search-seconds,0.85,42
scenario_018.json,79.032,5.431073,5.562533,0.013646,367,5,search-seconds,0.85,42
scenario_019.json,79.80499999999999,2.892795,3.480900,0.095340,53,5,search-seconds,0.85,42
scenario_020.json,80.80700000000002,6.030528,6.265147,0.043643,115,5,search-seconds,0.85,42
scenario_021.json,79.38699999999999,6.116267,6.847464,0.117093,43,5,search-seconds,0.85,42
scenario_022.json,80.40699999999997,4.217725,5.565994,0.044549,113,5,search-seconds,0.85,42
scenario_023.json,82.85000000000002,9.388298,9.980019,0.058337,86,5,search-seconds,0.85,42
scenario_024.json,77.62799999999999,2.782104,3.119882,0.065934,76,5,search-seconds,0.85,42
scenario_025.json,82.19599999999998,4.937617,5.158586,0.038030,132,5,search-seconds,0.85,42
scenario_026.json,81.04900000000006,7.487261,7.913518,0.028611,175,5,search-seconds,0.85,42
scenario_027.json,80.54800000000002,7.140778,7.482535,0.048212,104,5,search-seconds,0.85,42
scenario_028.json,78.26600000000003,4.252304,4.424179,0.064590,78,5,search-seconds,0.85,42
scenario_029.json,77.41299999999997,3.160931,3.392098,0.024802,202,5,search-seconds,0.85,42
scenario_030.json,79.32400000000003,4.606912,4.820610,0.056303,89,5,search-seconds,0.85,42
scenario_031.json,78.74999999999999,11.829040,13.176165,0.036129,139,5,search-seconds,0.85,42
scenario_032.json,81.39200000000002,15.329787,15.968379,0.035645,141,5,search-seconds,0.85,42
scenario_033.json,79.79700000000001,5.053690,5.197854,0.034641,145,5,search-seconds,0.85,42
scenario_034.json,76.13899999999997,3.514314,3.867066,0.048951,103,5,search-seconds,0.85,42
scenario_035.json,78.44400000000002,1.248542,1.470012,0.072580,69,5,search-seconds,0.85,42
scenario_036.json,80.39800000000004,7.632626,8.001198,0.018441,272,5,search-seconds,0.85,42
scenario_037.json,78.62599999999999,3.844691,4.070005,0.037463,134,5,search-seconds,0.85,42
scenario_038.json,78.822,1.635225,1.908381,0.086051,59,5,search-seconds,0.85,42
scenario_039.json,77.614,19.860004,21.241657,0.012104,414,5,search-seconds,0.85,42
scenario_040.json,77.18899999999998,2.306559,2.437941,0.024125,208,5,search-seconds,0.85,42
scenario_041.json,76.84599999999999,2.843911,2.934854,0.020279,247,5,search-seconds,0.85,42
scenario_042.json,80.30600000000001,4.225590,4.631123,0.070014,72,5,search-seconds,0.85,42
scenario_043.json,77.39600000000002,5.723044,6.319338,0.093741,54,5,search-seconds,0.85,42
scenario_044.json,80.92999999999998,13.799541,14.441789,0.063608,79,5,search-seconds,0.85,42
scenario_045.json,80.47699999999999,2.922292,3.138321,0.020780,241,5,search-seconds,0.85,42
scenario_046.json,80.42300000000002,6.352717,6.951157,0.055066,91,5,search-seconds,0.85,42
scenario_047.json,80.26299999999999,2.476310,2.877361,0.048981,103,5,search-seconds,0.85,42
scenario_048.json,79.91100000000002,11.190023,11.880856,0.033020,152,5,search-seconds,0.85,42
scenario_049.json,80.45100000000001,6.808704,7.782183,0.012305,407,5,search-seconds,0.85,42
scenario_050.json,81.28599999999999,5.484487,5.930553,0.017634,284,5,search-seconds,0.85,42
