entity,role,speed_kmh,launch_rule,launch_time_s,launch_time_hms,waypoint,latitude_deg,longitude_deg,altitude_m,x_east_km,y_north_km,segment_distance_km,segment_time_s,cumulative_distance_km,local_elapsed_s,local_elapsed_hms,global_time_s,global_time_hms
Tàu khu trục địch,enemy_ship,45.0,T0: enemy destroyer starts moving from D0,0.0,0:00,D0,11.8308,-110.667716,0.0,-125.8554,-13.4605,0.0,0.0,0.0,0.0,0:00,0.0,0:00
Tàu khu trục địch,enemy_ship,45.0,T0: enemy destroyer starts moving from D0,0.0,0:00,D1,11.938216,-110.512646,0.0,-108.9862,-1.5164,20.673,1653.842,20.673,1653.842,27:34,1653.842,27:34
Tàu khu trục địch,enemy_ship,45.0,T0: enemy destroyer starts moving from D0,0.0,0:00,D2,12.057516,-110.124101,0.0,-66.7185,11.7492,44.2936,3543.49,64.9667,5197.332,1:26:37,5197.332,1:26:37
Tàu khu trục địch,enemy_ship,45.0,T0: enemy destroyer starts moving from D0,0.0,0:00,D3,12.023436,-109.763434,0.0,-27.4834,7.9597,39.4048,3152.381,104.3714,8349.713,2:19:10,8349.713,2:19:10
Tàu khu trục địch,enemy_ship,45.0,T0: enemy destroyer starts moving from D0,0.0,0:00,D4,11.951853,-109.510793,0.0,0.0,0.0,28.6094,2288.75,132.9808,10638.463,2:57:18,10638.463,2:57:18
USV TN-0302,attack_asset,85.0,T0: launch from enemy destroyer at D0,0.0,0:00,D0,11.8308,-110.667716,0.0,-125.8554,-13.4605,0.0,0.0,0.0,0.0,0:00,0.0,0:00
USV TN-0302,attack_asset,85.0,T0: launch from enemy destroyer at D0,0.0,0:00,D1,11.769401,-110.357577,0.0,-92.1171,-20.2878,34.4406,1458.661,34.4406,1458.661,24:19,1458.661,24:19
USV TN-0302,attack_asset,85.0,T0: launch from enemy destroyer at D0,0.0,0:00,D2,11.80863,-109.847067,0.0,-36.5814,-15.9257,55.7397,2360.742,90.1804,3819.403,1:03:39,3819.403,1:03:39
USV TN-0302,attack_asset,85.0,T0: launch from enemy destroyer at D0,0.0,0:00,D3,11.86661,-109.678059,0.0,-18.196,-9.4786,19.4904,825.474,109.6707,4644.878,1:17:25,4644.878,1:17:25
USV TN-0302,attack_asset,85.0,T0: launch from enemy destroyer at D0,0.0,0:00,D4,11.951853,-109.510793,0.0,0.0,0.0,20.5193,869.052,130.19,5513.93,1:31:54,5513.93,1:31:54
USV TN-0301,attack_asset,85.0,T0 + 87 s: launch from moving enemy destroyer,87.0,1:27,D0,11.83645059,-110.65955858,0.0,-124.968,-12.8322,0.0,0.0,0.0,0.0,0:00,87.0,1:27
USV TN-0301,attack_asset,85.0,T0 + 87 s: launch from moving enemy destroyer,87.0,1:27,D1,11.854674,-110.394166,0.0,-96.0974,-10.8058,28.9529,1226.241,28.9529,1226.241,20:26,1313.241,21:53
USV TN-0301,attack_asset,85.0,T0 + 87 s: launch from moving enemy destroyer,87.0,1:27,D2,11.888776,-109.887141,0.0,-40.9409,-7.0139,55.3029,2342.242,84.2558,3568.482,59:28,3655.482,1:00:55
USV TN-0301,attack_asset,85.0,T0 + 87 s: launch from moving enemy destroyer,87.0,1:27,D3,11.967193,-109.726845,0.0,-23.5031,1.7057,19.4977,825.784,103.7535,4394.266,1:13:14,4481.266,1:14:41
USV TN-0301,attack_asset,85.0,T0 + 87 s: launch from moving enemy destroyer,87.0,1:27,D4,11.951853,-109.510793,0.0,0.0,0.0,23.5643,998.016,127.3178,5392.283,1:29:52,5479.283,1:31:19
UAV TN-0201,attack_asset,115.0,Launch when enemy destroyer reaches D1,1653.842,27:34,D0,11.938216,-110.512646,1000.0,-108.9862,-1.5164,0.0,0.0,0.0,0.0,0:00,1653.842,27:34
UAV TN-0201,attack_asset,115.0,Launch when enemy destroyer reaches D1,1653.842,27:34,D1,11.748932,-110.320987,1000.0,-88.1366,-22.5638,29.6318,927.605,29.6318,927.605,15:28,2581.447,43:01
UAV TN-0201,attack_asset,115.0,Launch when enemy destroyer reaches D1,1653.842,27:34,D2,11.769401,-109.787827,1000.0,-30.137,-20.2878,58.0852,1818.318,87.717,2745.923,45:46,4399.765,1:13:20
UAV TN-0201,attack_asset,115.0,Launch when enemy destroyer reaches D1,1653.842,27:34,D3,11.899005,-109.578745,1000.0,-7.3921,-5.8764,26.9344,843.165,114.6514,3589.088,59:49,5242.93,1:27:23
UAV TN-0201,attack_asset,115.0,Launch when enemy destroyer reaches D1,1653.842,27:34,D4,11.951853,-109.510793,0.0,0.0,0.0,9.4967,297.287,124.1481,3886.375,1:04:46,5540.217,1:32:20
Tên lửa YJ-83,attack_asset,1000.0,Launch when enemy destroyer reaches D2,5197.332,1:26:37,D0,12.057516,-110.124101,10.0,-66.7185,11.7492,0.0,0.0,0.0,0.0,0:00,5197.332,1:26:37
Tên lửa YJ-83,attack_asset,1000.0,Launch when enemy destroyer reaches D2,5197.332,1:26:37,D1,12.020027,-109.550867,10.0,-4.3594,7.5806,62.4781,224.921,62.4781,224.921,3:45,5422.254,1:30:22
Tên lửa YJ-83,attack_asset,1000.0,Launch when enemy destroyer reaches D2,5197.332,1:26:37,D2,11.98594,-109.53083,10.0,-2.1797,3.7903,4.3722,15.74,66.8503,240.661,4:01,5437.993,1:30:38
Tên lửa YJ-83,attack_asset,1000.0,Launch when enemy destroyer reaches D2,5197.332,1:26:37,D3,11.951853,-109.510793,0.0,0.0,0.0,4.3723,15.74,71.2226,256.401,4:16,5453.734,1:30:54
